iter	Passed	Remaining
419	2422	3345
420	2429	3341
421	2436	3337
422	2442	3331
423	2447	3324
424	2452	3318
425	2458	3312
426	2465	3308
427	2471	3302
428	2477	3297
429	2483	3291
430	2487	3283
431	2492	3277
432	2499	3273
433	2506	3268
434	2512	3263
435	2517	3257
436	2523	3250
437	2529	3246
438	2535	3239
439	2541	3234
440	2547	3229
441	2555	3226
442	2561	3220
443	2567	3214
444	2573	3209
445	2578	3203
446	2583	3196
447	2588	3189
448	2595	3184
449	2600	3178
450	2606	3172
451	2612	3167
452	2617	3160
453	2624	3156
454	2632	3153
455	2637	3146
456	2644	3142
457	2650	3137
458	2656	3131
459	2661	3124
460	2668	3119
461	2674	3114
462	2679	3108
463	2685	3102
464	2692	3097
465	2698	3092
466	2705	3087
467	2711	3082
468	2717	3076
469	2725	3073
470	2732	3069
471	2738	3063
472	2744	3057
473	2749	3051
474	2755	3045
475	2761	3039
476	2766	3033
477	2773	3029
478	2778	3022
479	2783	3015
480	2789	3010
481	2796	3005
482	2801	2998
483	2807	2993
484	2812	2986
485	2819	2981
486	2828	2979
487	2833	2973
488	2839	2967
489	2844	2960
490	2848	2953
491	2855	2948
492	2863	2945
493	2870	2940
494	2874	2933
495	2879	2926
496	2886	2921
497	2893	2916
498	2899	2911
499	2904	2904
500	2909	2897
501	2916	2893
502	2922	2887
503	2928	2881
504	2933	2875
505	2938	2868
506	2943	2862
507	2950	2857
508	2958	2853
509	2964	2848
510	2970	2842
511	2975	2835
512	2980	2829
513	2986	2823
514	2992	2818
515	2998	2812
516	3004	2806
517	3010	2800
518	3019	2798
519	3026	2794
520	3032	2787
521	3037	2781
522	3041	2774
523	3047	2768
524	3054	2763
525	3059	2757
526	3065	2751
527	3070	2745
528	3078	2740
529	3083	2734
530	3089	2728
531	3095	2723
532	3100	2716
533	3105	2709
534	3112	2705
535	3118	2699
536	3124	2693
537	3128	2686
538	3133	2680
539	3139	2674
540	3145	2668
541	3151	2663
542	3157	2657
543	3164	2652
544	3168	2645
545	3175	2640
546	3181	2634
547	3187	2628
548	3192	2622
549	3197	2616
550	3203	2610
551	3208	2604
552	3217	2600
553	3225	2596
554	3229	2589
555	3235	2583
556	3242	2578
557	3249	2573
558	3255	2568
559	3261	2562
560	3266	2556
561	3272	2550
562	3278	2545
563	3286	2540
564	3291	2533
565	3296	2527
566	3303	2522
567	3309	2516
568	3315	2511
569	3321	2505
570	3326	2499
571	3332	2493
572	3337	2487
573	3343	2481
574	3348	2475
575	3354	2469
576	3359	2463
577	3364	2456
578	3369	2450
579	3376	2444
580	3381	2438
581	3386	2432
582	3391	2425
583	3396	2419
584	3402	2413
585	3408	2407
586	3415	2402
587	3421	2397
588	3425	2390
589	3431	2384
590	3436	2378
591	3441	2372
592	3447	2366
593	3452	2359
594	3457	2353
595	3462	2347
596	3468	2341
597	3475	2336
598	3480	2330
599	3485	2323
600	3489	2316
601	3495	2311
602	3501	2305
603	3506	2298
604	3512	2293
605	3516	2286
606	3521	2279
607	3526	2273
608	3531	2267
609	3536	2261
610	3542	2255
611	3546	2248
612	3550	2241
613	3555	2234
614	3560	2229
615	3568	2224
616	3573	2218
617	3577	2211
618	3582	2204
619	3586	2198
620	3592	2192
621	3598	2186
622	3602	2180
623	3608	2174
624	3613	2167
625	3617	2161
626	3623	2155
627	3628	2149
628	3634	2143
629	3639	2137
630	3644	2131
631	3648	2124
632	3654	2118
633	3660	2112
634	3666	2107
635	3672	2101
636	3676	2095
637	3681	2088
638	3687	2083
639	3692	2077
640	3697	2071
641	3703	2065
642	3710	2060
643	3716	2054
644	3722	2048
645	3727	2042
646	3733	2036
647	3738	2030
648	3743	2024
649	3747	2018
650	3753	2012
651	3759	2006
652	3765	2001
653	3770	1994
654	3774	1988
655	3779	1981
656	3785	1976
657	3791	1970
658	3795	1964
659	3801	1958
660	3805	1951
661	3810	1945
662	3815	1939
663	3821	1933
664	3826	1927
665	3831	1921
666	3836	1915
667	3841	1909
668	3847	1903
669	3854	1898
670	3858	1892
671	3864	1886
672	3870	1880
673	3875	1874
674	3880	1868
675	3887	1863
676	3893	1857
677	3898	1851
678	3904	1846
679	3912	1841
680	3919	1835
681	3924	1829
682	3930	1824
683	3934	1817
684	3940	1812
685	3948	1807
686	3953	1801
687	3959	1795
688	3966	1790
689	3972	1784
690	3978	1779
691	3985	1773
692	3992	1768
693	3997	1762
694	4002	1756
695	4009	1751
696	4017	1746
697	4024	1741
698	4028	1734
699	4033	1728
700	4039	1723
701	4045	1717
702	4051	1711
703	4056	1705
704	4064	1700
705	4071	1695
706	4076	1689
707	4082	1683
708	4088	1678
709	4093	1672
710	4098	1666
711	4104	1660
712	4110	1654
713	4115	1648
714	4122	1643
715	4126	1636
716	4131	1630
717	4137	1624
718	4143	1619
719	4150	1613
720	4155	1608
721	4160	1601
722	4166	1596
723	4172	1590
724	4179	1585
725	4186	1579
726	4190	1573
727	4195	1567
728	4202	1562
729	4209	1557
730	4216	1551
731	4220	1545
732	4226	1539
733	4232	1533
734	4239	1528
735	4245	1523
736	4250	1516
737	4255	1510
738	4260	1504
739	4265	1498
740	4276	1494
741	4282	1489
742	4287	1482
743	4292	1476
744	4300	1471
745	4307	1466
746	4313	1460
747	4317	1454
748	4322	1448
749	4327	1442
750	4332	1436
751	4338	1430
752	4345	1425
753	4350	1419
754	4355	1413
755	4362	1407
756	4368	1402
757	4373	1396
758	4379	1390
759	4385	1384
760	4390	1378
761	4396	1373
762	4402	1367
763	4410	1362
764	4416	1356
765	4421	1350
766	4428	1345
767	4434	1339
768	4440	1333
769	4445	1327
770	4450	1321
771	4457	1316
772	4463	1310
773	4468	1304
774	4477	1299
775	4500	1299
776	4508	1294
777	4514	1288
778	4519	1282
779	4525	1276
780	4531	1270
781	4537	1264
782	4542	1258
783	4547	1252
784	4553	1247
785	4559	1241
786	4564	1235
787	4571	1229
788	4576	1223
789	4582	1218
790	4588	1212
791	4598	1207
792	4604	1202
793	4609	1196
794	4615	1190
795	4620	1184
796	4627	1178
797	4634	1173
798	4639	1167
799	4644	1161
800	4650	1155
801	4655	1149
802	4663	1144
803	4669	1138
804	4674	1132
805	4679	1126
806	4685	1120
807	4697	1116
808	4704	1110
809	4709	1104
810	4715	1098
811	4721	1093
812	4729	1087
813	4735	1082
814	4741	1076
815	4749	1070
816	4755	1065
817	4761	1059
818	4766	1053
819	4771	1047
820	4776	1041
821	4783	1035
822	4790	1030
823	4796	1024
824	4801	1018
825	4805	1012
826	4811	1006
827	4817	1000
828	4823	995
829	4829	989
830	4834	983
831	4838	977
832	4845	971
833	4851	965
834	4857	959
835	4863	954
836	4868	948
837	4873	942
838	4879	936
839	4886	930
840	4892	925
841	4901	919
842	4906	913
843	4912	907
844	4917	902
845	4924	896
846	4932	890
847	4940	885
848	4948	880
849	4955	874
850	4960	868
851	4965	862
852	4971	856
853	4977	850
854	4983	845
855	4989	839
856	4995	833
857	5001	827
858	5008	822
859	5014	816
860	5029	812
861	5035	806
862	5041	800
863	5049	794
864	5055	789
865	5060	783
866	5066	777
867	5072	771
868	5077	765
869	5084	759
870	5090	754
871	5097	748
872	5104	742
873	5112	737
874	5118	731
875	5123	725
876	5129	719
877	5135	713
878	5142	707
879	5148	702
880	5153	696
881	5160	690
882	5166	684
883	5172	678
884	5179	673
885	5184	667
886	5190	661
887	5197	655
888	5205	650
889	5215	644
890	5221	638
891	5231	633
892	5240	627
893	5246	622
894	5252	616
895	5257	610
896	5262	604
897	5269	598
898	5275	592
899	5281	586
900	5286	580
901	5291	574
902	5296	568
903	5303	563
904	5308	557
905	5313	551
906	5319	545
907	5323	539
908	5327	533
909	5332	527
910	5338	521
911	5343	515
912	5348	509
913	5353	503
914	5358	497
915	5363	491
916	5370	486
917	5376	480
918	5382	474
919	5386	468
920	5391	462
921	5396	456
922	5401	450
923	5407	444
924	5413	438
925	5417	432
926	5423	427
927	5427	421
928	5432	415
929	5438	409
930	5443	403
931	5448	397
932	5453	391
933	5458	385
934	5467	380
935	5472	374
936	5477	368
937	5483	362
938	5488	356
939	5492	350
940	5498	344
941	5503	338
942	5508	332
943	5513	327
944	5518	321
945	5522	315
946	5528	309
947	5533	303
948	5538	297
949	5545	291
950	5549	285
951	5553	280
952	5560	274
953	5566	268
954	5571	262
955	5576	256
956	5581	250
957	5586	244
958	5591	239
959	5597	233
960	5602	227
961	5608	221
962	5613	215
963	5617	209
964	5623	203
965	5629	198
966	5634	192
967	5640	186
968	5645	180
969	5650	174
970	5656	168
971	5665	163
972	5671	157
973	5676	151
974	5680	145
975	5685	139
976	5692	134
977	5698	128
978	5704	122
979	5708	116
980	5713	110
981	5719	104
